nome,nparti,semana,ano,data,cidade,estado,5km,10km,21km,42km
CIRCUITO BANCO DO BRASIL - SALVADOR,3582,28,2025,06/07/2025,SALVADOR,BA,1,1,0,0
INTERLAGOS NIGHT RUN,3550,23,2025,07/06/2025,SAO PAULO,SP,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - VERAO - CURITIBA,3539,49,2025,30/11/2025,CURITIBA,PR,1,1,0,0
MEIA MARATONA FOCO RUN,3532,23,2025,01/06/2025,MANAUS,AM,1,1,1,0
BARBIE RUN RIO DE JANEIRO,3527,44,2025,26/10/2025,RIO DE JANEIRO,RJ,0,1,0,0
CORRIDA DOE VIDA GRAACC 2025,3526,42,2025,12/10/2025,SANTOS,SP,1,1,0,0
20 CORRIDA DAS PONTES DO RECIFE DROGASIL,3520,23,2025,01/06/2025,RECIFE,PE,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - CURITIBA,3495,38,2025,14/09/2025,CURITIBA,PR,1,1,0,0
HOKA SPEED RUN 2025 - RIO DE JANEIRO,3492,46,2025,15/11/2025,RIO DE JANEIRO,RJ,0,1,1,1
1 MARATONA DE SAO JOSE,3488,39,2025,21/09/2025,SAO JOSE DOS CAMPOS,SP,1,1,1,1
5K GOIANIA,3479,52,2025,27/12/2025,GOIAS,GO,1,0,0,0
CIRCUITO GOIANIA 5K - EDICAO 1 2025,3474,43,2025,23/10/2025,GOIANIA,GO,1,0,0,0
CORRIDA DO LAION,3472,42,2025,12/10/2025,FORTALEZA,CE,1,1,0,0
2 CORRIDA DO LAION,3467,42,2025,12/10/2025,FORTALEZA,CE,1,1,0,0
CORRIDA E CAMINHADA DE NATAL FARMAPONTE,3430,50,2025,13/12/2025,SOROCABA,SP,1,1,0,0
BOTA PRA CORRER - FORTALEZA - 2025,3396,46,2025,09/11/2025,FORTALEZA,CE,1,1,0,0
3 MEIA MARATONA INTERNACIONAL DE GUARULHOS,3367,31,2025,27/07/2025,GUARULHOS,SP,1,1,1,0
MEIA MARATONA DO MERCADO PUBLICO,3356,41,2025,05/10/2025,PORTO ALEGRE,RS,1,1,1,0
10 MEIA MARATONA DE CAXIAS DO SUL 2025,3338,40,2025,28/09/2025,CAXIAS DO SUL,RS,1,1,1,0
NIGHT RUN 2025 - ETAPA 1 - BELO HORIZONTE,3337,45,2025,08/11/2025,BELO HORIZONTE,MG,1,1,0,0
13 MEIA MARATONA DE CAMPINAS,3334,24,2025,08/06/2025,CAMPINAS,SP,0,1,1,0
BOP GAMES RUN 2025,3330,38,2025,14/09/2025,BELO HORIZONTE,MG,1,1,0,0
CORRIDA E CAMINHADA OUTUBRO ROSA ASPEC,3313,41,2025,05/10/2025,BELO HORIZONTE,MG,1,0,0,0
BELEM NIGHT RUN BLUE SKY,3291,39,2025,27/09/2025,BELEM,PA,1,1,0,0
SANTOS RUN 8K 2025,3285,46,2025,09/11/2025,SANTOS,SP,0,1,0,0
BATEL RUN 2026,3282,5,2026,25/01/2026,CURITIBA,PR,1,1,0,0
CORRIDA DO SOL,3275,28,2025,06/07/2025,BELEM,PA,1,1,0,0
NIGHT RUN 2025 - ETAPA 1 - FORTALEZA,3263,40,2025,04/10/2025,FORTALEZA,CE,1,1,0,0
GOIANIA 5K  ETAPA 3 - 2025,3263,48,2025,29/11/2025,GOIANIA,GO,1,0,0,0
CORRIDAS CURITIBA JUNTO SEGUROS - ETAPA 5,3254,42,2025,12/10/2025,PINHAIS,PR,1,1,0,0
MINIONS RUN - SAO PAULO,3249,46,2025,09/11/2025,SAO PAULO,SP,1,0,0,0
ECLIPSE NIGHT RUN - LUA MINGUANTE,3248,41,2025,11/10/2025,RIO DE JANEIRO,RJ,1,0,0,0
CIRCUITO BANCO DO BRASIL - ETAPA SAO PAULO,3242,24,2025,08/06/2025,SAO PAULO,SP,1,1,0,0
1 CORRIDA DA CIDADANIA VAPT VUPT,3238,41,2025,05/10/2025,FORTALEZA,CE,1,1,0,0
CORRIDA VAPT VUPT,3238,41,2025,05/10/2025,FORTALEZA,CE,1,1,0,0
RUN SUS,3234,45,2025,08/11/2025,BRASILIA,DF,1,0,0,0
CORRIDA PINK DO BEM OSSEL ASSISTENCIA 2025,3231,44,2025,26/10/2025,SOROCABA,SP,1,1,0,0
MEIA MARATONA SC21K 2025,3194,48,2025,23/11/2025,FLORIANOPOLIS,SC,1,0,1,0
MARATONA DE CAMPO GRANDE 2025,3168,28,2025,06/07/2025,CAMPO GRANDE,MS,1,1,1,1
10 CORRIDA VENANCIO 2025,3147,35,2025,24/08/2025,RIO DE JANEIRO,RJ,1,1,0,0
MARATONA DO LITORAL,3111,34,2025,17/08/2025,MATINHOS,PR,1,1,1,1
NFL RUN - 2025,3080,37,2025,07/09/2025,SAO PAULO,SP,1,0,0,0
CORRIDA ITALIANA DO CRUZEIRO,3057,9,2026,22/02/2026,BELO HORIZONTE,MG,1,1,0,0
CIRCUITO CORRIDA DE RUA DE SAO JOSE DOS PINHAIS 2025 - ETAPA JUVENTUDE,3049,49,2025,06/12/2025,SAO JOSE DOS PINHAIS,PR,1,0,0,0
3 MARATONA DE SANTA MARIA,3023,43,2025,19/10/2025,SANTA MARIA,RS,1,1,1,1
CORRIDA TIME BRASIL,3005,24,2025,08/06/2025,RIO DE JANEIRO,RJ,1,1,0,0
CORRIDA VOZAO,2986,23,2025,01/06/2025,FORTALEZA,CE,1,1,0,0
14 NIGHT RUN NOVO RIO PINHEIROS,2962,2,2026,10/01/2026,SAO PAULO,SP,1,1,1,0
MEIA MARATONA DE AMERICANA 2026,2962,4,2026,18/01/2026,AMERICANA,SP,1,1,1,0
PANVEL RUN,2939,30,2025,20/07/2025,PORTO ALEGRE,RS,1,1,0,0
TRACK&FIELD RUN SERIES 2025 - SHOPPING ELDORADO,2878,30,2025,20/07/2025,SAO PAULO,SP,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - BELEM,2870,37,2025,07/09/2025,BELEM,PA,1,1,0,0
4 CORRIDA NOVA ERA,2866,39,2025,21/09/2025,MANAUS,AM,1,1,0,0
GIRL POWER RUN - SALVADOR,2835,35,2025,24/08/2025,SALVADOR,BA,1,1,0,0
CORRIDA SUPERMAN,2834,27,2025,29/06/2025,SAO PAULO,SP,1,1,0,0
CORRIDA DA INDEPENDENCIA NA AVIACAO DO EXERCITO,2815,36,2025,06/09/2025,TAUBATE,SP,1,1,0,0
PLANET RUN 2025 - ETAPA JAPAO,2813,46,2025,15/11/2025,BELO HORIZONTE,MG,1,1,0,0
3 CORRIDA DO LEAO,2799,44,2025,26/10/2025,SALVADOR,BA,1,1,0,0
CORRIDA DO EXERCITO,2792,51,2025,14/12/2025,BELO HORIZONTE,MG,1,1,0,0
CIRCUITO GOIA?NIA 5K - EDICAO 2 - 2025,2788,45,2025,08/11/2025,GOIANIA,GO,1,0,0,0
BARBIE RUN DE BELO HORIZONTE,2774,45,2025,02/11/2025,BELO HORIZONTE,MG,0,1,0,0
NIGHT RUN - PORTO ALEGRE - 2025,2774,47,2025,22/11/2025,PORTO ALEGRE,RS,1,1,0,0
NOITE RUN 2025,2759,49,2025,30/11/2025,PORTO ALEGRE,RS,1,1,0,0
1 CORRIDA ANA NERI,2756,23,2025,01/06/2025,BRASILIA,DF,1,0,0,0
CORRIDA E CAMINHADA CONTRA A FOME,2750,34,2025,17/08/2025,SAO PAULO,SP,1,1,0,0
GUUD RUN ETAPA SAO PAULO,2746,23,2025,01/06/2025,SAO PAULO,SP,1,1,0,0
ECO RUN - SALVADOR - 2025,2735,46,2025,09/11/2025,SALVADOR,BA,1,1,0,0
CORRIDAS CURITIBA - ETAPA 6,2734,45,2025,02/11/2025,COLOMBO,PR,1,1,0,0
CORRIDA GOURMET 2025 - CENTRO HISTORICO SAO PAULO,2728,46,2025,15/11/2025,SAO PAULO,SP,1,0,0,0
MARATONA OFICIAL DE RIBEIRAO PRETO PIRACANJUBA PROFORCE 2026,2724,5,2026,25/01/2026,RIBEIRAO PRETO,SP,1,1,1,1
10K SP CHALLENGE 2025,2723,23,2025,01/06/2025,SAO PAULO,SP,0,1,0,0
CORRIDA BOB ESPONJA - FORTALEZA,2723,31,2025,27/07/2025,FORTALEZA,CE,1,0,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - PORTO ALEGRE,2706,38,2025,14/09/2025,PORTO ALEGRE,RS,1,1,1,0
CORRIDA DA MULHER MOBILIZE 2026,2700,9,2026,22/02/2026,CURITIBA,PR,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - VERAO - PORTO ALEGRE,2699,50,2025,07/12/2025,PORTO ALEGRE,RS,1,1,0,0
CAIXA | CORRIDAS PELO NORDESTE - CAURARU - PE,2689,45,2025,02/11/2025,CARUARU,PE,1,1,0,0
TRACK&FIELD RUN SERIES 2025 - RECIFE,2687,34,2025,17/08/2025,RECIFE,PE,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - BELEM,2668,25,2025,15/06/2025,BELEM,PA,1,1,0,0
1 MEIA MARATONA DE OSASCO 2026,2663,9,2026,22/02/2026,OSASCO,SP,1,1,1,0
MEIA E MARATONA CIDADE DE FLORIANOPOLIS 2025,2662,26,2025,22/06/2025,FLORIANOPOLIS,SC,1,0,1,1
BIOMAS - AMAZONIA - BELEM - 2025,2659,41,2025,05/10/2025,BELEM,PA,1,1,0,0
MGA CAPITAL RUNNING,2656,29,2025,13/07/2025,MARINGA,PR,1,1,1,0
LIVE! RUN XP 2025 - SAO PAULO,2651,43,2025,19/10/2025,SAO PAULO,SP,1,1,0,0
CORRIDA E CAMINHADA DO MEC,2650,40,2025,28/09/2025,BRASILIA,DF,1,1,0,0
POA NIGHT RUN,2649,39,2025,27/09/2025,PORTO ALEGRE,RS,1,1,0,0
CIRCUITO BIOMAS POR TODO BRASIL - CERRADO - 2025,2639,30,2025,20/07/2025,BRASILIA,DF,1,1,0,0
12 CORRIDA VIVA VIDA SAVEGNAGO,2639,46,2025,09/11/2025,SERTAOZINHO,SP,1,1,0,0
CORRENDO CONTRA O CANCER - 5K - 10K - 15K - 20K,2635,44,2025,26/10/2025,SAO PAULO,SP,1,1,1,0
MARATONA INTERNACIONAL DE BLUMENAU 2025,2625,28,2025,06/07/2025,BLUMENAU,SC,1,1,1,1
LIVE! RUN XP 2025 - RIO DE JANEIRO III,2624,47,2025,16/11/2025,RIO DE JANEIRO,RJ,1,1,0,0
TGS RUN 2025,2623,46,2025,15/11/2025,BRASILIA,DF,1,0,1,0
NIGHT RUN 2025 - CURITIBA,2614,32,2025,09/08/2025,CURITIBA,PR,1,1,0,0
15K DE SANTA - INVERNO 2025,2604,28,2025,06/07/2025,CURITIBA,PR,0,1,1,0
21 PROVA PEDESTRE CIDADE DE LONDRINA,2604,50,2025,07/12/2025,LONDRINA,PR,1,1,1,0
CORRIDA AERO RUN,2583,51,2025,14/12/2025,BELEM,PA,1,0,0,0
CELEBRATION RUN- CORRA PARA A VIRADA,2583,53,2025,28/12/2025,MACEIO,AL,1,0,1,0
RUN THE PINK 2025,2569,41,2025,05/10/2025,CURITIBA,PR,1,1,0,0
LIVE! RUN XP 2025 - FLORIANOPOLIS,2546,46,2025,09/11/2025,FLORIANOPOLIS,SC,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - VERAO - JOAO PESSOA,2522,51,2025,14/12/2025,JOAO PESSOA,PB,1,1,1,0
CORRIDA DO BOMBEIRO 2025,2509,42,2025,12/10/2025,BELO HORIZONTE,MG,1,1,0,0
CORRIDA DO INTER 2025,2508,27,2025,29/06/2025,PORTO ALEGRE,RS,1,1,0,0
RIO MARAVILHA SEASONS 2025,2502,53,2025,28/12/2025,RIO DE JANEIRO,RJ,1,0,0,0
CORRIDA ASSAI - EDICAO FORTALEZA,2499,50,2025,07/12/2025,FORTALEZA,CE,1,1,0,0
CORRIDA DA PONTE 2025,2498,42,2025,12/10/2025,CURITIBA,PR,1,0,0,0
GIRL POWER 2025 - FORTALEZA,2493,34,2025,17/08/2025,FORTALEZA,CE,1,1,0,0
FRESH RUN SUPER MUFFATO 2025 - LONDRINA,2490,31,2025,27/07/2025,LONDRINA,PR,0,1,1,0
TRACK&FIELD RUN SERIES 2025 - SHOPPING BARRA,2483,33,2025,10/08/2025,SALVADOR,BA,1,1,1,0
CORRIDA PLIE PELA PRIMEIRA VEZ 2025 - ETAPA SHOPPING ELDORADO,2482,40,2025,28/09/2025,SAO PAULO,SP,1,1,0,0
CONDOR RUNNING ETAPA CURITIBA - 2025,2477,47,2025,16/11/2025,CURITIBA,PR,1,1,0,0
CIRCUITO OSCAR 2025 - ETAPA SAO JOSE DOS CAMPOS,2477,49,2025,30/11/2025,SAO JOSE DOS CAMPOS,SP,1,1,0,0
1 SAO PAULO CLASSIC RUN - ETAPA CENTRO HISTORICO,2475,25,2025,15/06/2025,SAO PAULO,SP,0,1,0,0
CORRIDA SAO VICENTE UACAI NIGHT RUN,2473,42,2025,18/10/2025,AMERICANA,SP,1,1,0,0
12 CORRIDA LUZES DA CIDADE - A MAIOR NIGHT RUN DO ESPIRITO SANTO,2458,47,2025,22/11/2025,VILA VELHA,ES,0,1,0,0
CIRCUITO DAS ESTACOES 2025 - VERAO - BELEM,2447,51,2025,14/12/2025,BELEM,PA,1,1,0,0
CORRIDA DO JEC 2026 JOINVILLE - SC,2447,5,2026,25/01/2026,JOINVILLE,SC,1,1,0,0
CORRIDA ENERGISA ELECTRIC RUN 2025,2444,48,2025,29/11/2025,ARACAJU,SE,1,1,0,0
21 CORRIDA DE SAO SEBASTIAO - 2026,2434,4,2026,20/01/2026,PARAUAPEBAS,PA,0,1,0,0
COMEPI BEAUTY RUN 2025,2427,48,2025,23/11/2025,MANAUS,AM,1,1,0,0
CORRIDA PRINCESAS RUN - ETAPA USP,2427,9,2026,22/02/2026,SAO PAULO,SP,0,1,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - JOAO PESSOA,2425,28,2025,06/07/2025,JOAO PESSOA,PB,1,1,0,0
CORRIDA E CAMINHADA GRAACC COMBATENDO E VENCENDO O CANCER INFANTIL,2411,48,2025,23/11/2025,BARUERI,SP,1,1,0,0
II CORRIDA SUPERMERCADO DINIZ,2409,31,2025,27/07/2025,JUAZEIRO DO NORTE,CE,1,1,1,0
63 EDICAO DA PROVA PEDESTRE 28 DE JANEIRO DE 2026.,2405,5,2026,31/01/2026,APUCARANA,PR,1,0,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - CABEDELO,2403,28,2025,06/07/2025,CABEDELO,PB,1,1,0,0
2 CORRIDA DA PF,2398,49,2025,30/11/2025,SALVADOR,BA,1,1,1,0
LIVE! RUN XP 2025 - BELO HORIZONTE,2393,47,2025,20/11/2025,BELO HORIZONTE,MG,1,1,1,0
MEIA MARATONA DE VILA VELHA - 3 EDICAO,2387,43,2025,19/10/2025,VILA VELHA,ES,1,1,1,0
CIRCUITO DE CORRIDAS PAGUE MENOS - 8 ETAPA CAMPINAS - 2025,2387,47,2025,16/11/2025,CAMPINAS,SP,1,1,0,0
5 CORRIDA CONTRA O CANCER - 2026,2387,9,2026,22/02/2026,JOAO PESSOA,PB,1,1,0,0
MEIA MARATONA DE GOIANIA 2025,2380,43,2025,19/10/2025,GOIANIA,GO,1,1,1,0
NIGHT RACE MOGI 2025,2378,30,2025,26/07/2025,MOGI DAS CRUZES,SP,1,1,0,0
4 CORRIDA DO TEATRO AMAZONAS,2371,53,2025,28/12/2025,MANAUS,AM,0,1,0,0
TRACK&FIELD RUN SERIES 2025 - CIDADE JARDIM II,2370,34,2025,17/08/2025,SAO PAULO,SP,0,1,1,0
GIRL POWER 2025 - VITORIA,2365,35,2025,24/08/2025,VITORIA,ES,1,1,0,0
LIVE! RUN XP 2025 - PORTO ALEGRE,2365,40,2025,28/09/2025,PORTO ALEGRE,RS,1,1,1,0
TUBOACOS CORRENDO COM JESUS 2025,2337,52,2025,21/12/2025,MANAUS,AM,1,1,0,0
CIRCUITO S RUN EDICAO SAO LUIS 2025,2333,48,2025,23/11/2025,SAO LUIS,MA,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - JOAO PESSOA,2331,40,2025,28/09/2025,JOAO PESSOA,PB,1,1,1,0
CIRCUITO DAS ESTACOES ETAPA PRIMAVERA 2025,2331,40,2025,28/09/2025,JOAO PESSOA,PB,1,1,1,0
LIVE! RUN XP 2025 - FORTALEZA II,2328,47,2025,16/11/2025,FORTALEZA,CE,1,1,1,0
CORRIDA DA BATALHA NAVAL DO RIACHUELO,2313,24,2025,08/06/2025,SANTAREM,PA,1,1,0,0
MEIA MARATONA DAS FLORES - ASSAI ATACADISTA,2301,50,2025,08/12/2025,MANAUS,AM,1,1,1,0
FAST RUN 5K-10K BSB,2301,4,2026,18/01/2026,BRASILIA,DF,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - MARANHAO,2298,40,2025,28/09/2025,SAO LUIS,MA,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - SAO LUIS,2298,40,2025,28/09/2025,SAO LUIS,MA,1,1,0,0
2 CORRIDA CAMARA MUNICIPAL DE BOA VISTA,2295,49,2025,30/11/2025,BOA VISTA,RR,1,0,0,0
CIRCUITO CORRIDA VALE 2025 - ETAPA VITORIA,2281,38,2025,14/09/2025,VITORIA,ES,1,1,0,0
CIRCUITO OSCAR 2025 - ETAPA MOGI,2274,27,2025,29/06/2025,MOGI DAS CRUZES,SP,1,1,0,0
CORRIDA DO ACO,2274,44,2025,26/10/2025,CUBATAO,SP,1,1,0,0
CIRCUITO DE CORRIDAS UNIMED - ETAPA FLORIANOPOLIS,2273,47,2025,16/11/2025,FLORIANOPOLIS,SC,1,1,0,0
SINAL VERDE ATRIUM RUN,2273,49,2025,30/11/2025,SANTO ANDRE,SP,1,1,0,0
MEIA MARATONA INTERNACIONAL GOIAS 205,2267,40,2025,28/09/2025,GOIAS,GO,1,1,0,0
20 SP RUN - SHOPPING SP MARKET,2267,7,2026,08/02/2026,SAO PAULO,SP,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - MANAUS,2265,38,2025,14/09/2025,MANAUS,AM,1,1,0,0
NIGHT RUN - GOIANIA 2025,2262,34,2025,23/08/2025,GOIANIA,GO,1,1,0,0
CORRIDA DA AMIZADE - 9  EDICAO,2255,5,2026,25/01/2026,ITABAIANA,SE,1,1,0,0
1 CORRIDA QUEM CORRE AMA,2254,5,2026,25/01/2026,MACEIO,AL,1,1,0,0
JAMPA RUN - 5K 10K | 2025,2249,37,2025,07/09/2025,JOAO PESSOA,PB,1,1,0,0
CORRIDA 10K TERNIUM 2025,2244,44,2025,26/10/2025,RIO DE JANEIRO,RJ,1,1,0,0
MEIA MARATONA COOP,2241,38,2025,14/09/2025,MACEIO,AL,0,1,1,0
CIRCUITO BANCO DO BRASIL - RIO DE JANEIRO,2237,30,2025,20/07/2025,RIO DE JANEIRO,RJ,1,1,0,0
11 BONITO 21K 2025,2236,49,2025,06/12/2025,BONITO,MS,1,1,1,0
CORRIDA CHOQUE VS BOPE,2233,51,2025,14/12/2025,RIO DE JANEIRO,RJ,1,1,0,0
CORRIDA DA FORCA AEREA 2025,2231,41,2025,05/10/2025,LAGOA SANTA,MG,1,1,0,0
4 CORRIDA DO CHOQUEANO,2229,31,2025,27/07/2025,GUARABIRA,PB,1,1,0,0
11 CORRIDA FARMACIA SANTA LUCIA,2214,31,2025,27/07/2025,VITORIA,ES,0,1,0,0
CRESOL RUN 2026,2210,4,2026,18/01/2026,LONDRINA,PR,1,1,0,0
5K GOIANIA 2026,2209,3,2026,17/01/2026,GOINIA,GO,1,0,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - PORTO ALEGRE,2203,25,2025,15/06/2025,PORTO ALEGRE,RS,1,1,1,0
7 CORRIDA DO FOGO,2201,46,2025,09/11/2025,CURITIBA,PR,1,1,0,0
CORRIDA MUNDO LIVRE,2194,33,2025,16/08/2025,PINHAIS,PR,1,1,0,0
NIGHT RUN - ARACAJU 2025,2193,41,2025,11/10/2025,ARACAJU,SE,1,1,0,0
CIRCUITO DESBRAVA - RECIFE,2192,38,2025,14/09/2025,RECIFE,PE,1,1,0,0
1 CORRIDA DA GENTE NORDESTAO - ETAPA TIROL,2185,25,2025,15/06/2025,NATAL,RN,1,0,0,0
MARATONA DE NITEROI 2025,2185,38,2025,14/09/2025,NITEROI,RJ,0,1,1,1
ECO RUN - SOROCABA,2181,32,2025,03/08/2025,SOROCABA,SP,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - MANAUS,2176,25,2025,15/06/2025,MANAUS,AM,1,1,0,0
RUN FOR LIFE 2025,2171,24,2025,08/06/2025,CAMPINAS,SP,0,1,0,0
HOKA SPEED RUN 2025 - SALVADOR,2162,41,2025,05/10/2025,SALVADOR,BA,0,1,1,1
FEIRA NIGHT RUN ANALISE 2025,2158,45,2025,08/11/2025,FEIRA DE SANTANA,BA,1,1,0,0
49 CORRIDA SAO SILVEIRA DE BARUERI 2025,2152,51,2025,14/12/2025,BARUERI,SP,0,1,0,0
4  CORRIDA SANTOS DUMONT - CINDACTA II,2144,42,2025,17/10/2025,CURITIBA,PR,1,1,0,0
CIRCUITO CPN,2139,29,2025,13/07/2025,RIO DE JANEIRO,RJ,1,1,0,0
1 CORRIDA DA POLICIA PENAL DE MINAS GERAIS,2137,43,2025,19/10/2025,BELO HORIZONTE,MG,1,1,0,0
ICESP RUN,2135,49,2025,30/11/2025,SAO PAULO,SP,1,1,0,0
9 CORRIDA ASA BRANCA,2125,5,2026,31/01/2026,FEIRA DE SANTANA,BA,1,1,0,0
MEIA MARATONA DO FOGO,2117,29,2025,13/07/2025,MANAUS,AM,1,1,1,0
7 SP PINK RUN,2111,41,2025,05/10/2025,SAO PAULO,SP,1,0,0,0
CORRIDA TURISMO,2111,42,2025,12/10/2025,BRASILIA,DF,1,1,1,0
VCP RUN 2025,2109,28,2025,06/07/2025,CAMPINAS,SP,1,1,1,0
CORRIDA E CAMINHADA PEQUENO PRINCIPE,2100,33,2025,10/08/2025,CURITIBA,PR,1,1,0,0
3 CORRIDA CASA O TOUREIRO   PARNAIBA   PI,2092,36,2025,31/08/2025,PARNAIBA,PI,1,1,1,0
CAIXA | CORRIDAS PELO NORDESTE - JUAZEIRO-BA,2088,41,2025,05/10/2025,JUAZEIRO,BA,1,1,0,0
NIGHT RUN 2025 - ETAPA 1 - BELEM,2084,38,2025,20/09/2025,BELEM,PA,1,1,0,0
LIVE! RUN XP 2025 - BELO HORIZONTE I,2071,27,2025,29/06/2025,BELO HORIZONTE,MG,1,1,0,0
NIGHT RUN NATAL LUZ - ALIANCA POR FLORIPA,2071,51,2025,20/12/2025,FLORIANOPOLIS,SC,1,1,0,0
CIRCUITO DAS ESTACOES 2025 - VERAO - MANAUS,2070,46,2025,09/11/2025,MANAUS,AM,1,1,0,0
CIRCUITO BANCO DO BRASIL - ETAPA FORTALEZA,2062,51,2025,14/12/2025,FORTALEZA,CE,1,1,0,0
13 MEIA MARATONA TRIBUNA - PRAIA GRANDE,2060,44,2025,26/10/2025,PRAIA GRANDE,SP,0,1,1,0
CORRIDA DOS BOMBEIROS - 11 EDICAO,2059,27,2025,29/06/2025,VITORIA,ES,0,1,0,0
CORRIDA CAMPEAO DOS CAMPEOES,2055,33,2025,10/08/2025,BELEM,PA,1,1,0,0
MISSIONARIA NIGHT RUN | 3 EDICAO,2055,36,2025,06/09/2025,MARINGA,PR,1,1,0,0
28 PRAIAS COSTA CENTRAL,2048,40,2025,04/10/2025,UBATUBA,SP,0,1,1,1
LIVE! RUN XP 2025 - GOIANIA,2044,26,2025,22/06/2025,GOIANIA,GO,1,1,1,0
I LOVE CORRIDA PRIO,2044,37,2025,13/09/2025,RIO DE JANEIRO,RJ,1,1,0,0
MEIA MARATONA FAROL A FAROL 2025 - 2 ETAPA,2030,36,2025,31/08/2025,SALVADOR,BA,1,1,1,1
CORRIDA BARAO DE JUNDIAHY - EXERCITO BRASILEIRO 2025,2025,44,2025,26/10/2025,JUNDIAI,SP,1,1,0,0
CORRIDA DO BEM ECO - ACAILANDIA - 2025,2008,27,2025,29/06/2025,ACAILANDIA,MA,1,1,0,0
CIRCUITO CPN - ETAPA CAMBOINHAS,2008,45,2025,08/11/2025,NITEROI,RJ,1,1,0,0
VEM PRA RUA - ETAPA PORTO DE GALINHAS,2004,51,2025,14/12/2025,RECIFE,PE,1,1,0,0
1 CORRIDA DO BAHEA   PRINCESA DO SERTAO,1994,40,2025,28/09/2025,FEIRA DE SANTANA,BA,1,1,0,0
CIRCUITO S RUN EDICAO SOROCABA 2025,1988,31,2025,27/07/2025,SOROCABA,SP,1,1,0,0
CIRCUITO S RUN EDICAO NATAL 2025,1977,40,2025,28/09/2025,NATAL,RN,1,1,0,0
6 CORRIDA OUTLET PREMIUM SAO PAULO,1970,46,2025,09/11/2025,ITUPEVA,SP,1,1,0,0
FURIOSO EXTREMA 2025,1968,39,2025,21/09/2025,LONDRINA,PR,1,1,0,0
CORRIDA UNIMED INSPIRA - ETAPA NIGHT 2025,1968,40,2025,04/10/2025,LONDRINA,PR,1,1,0,0
SAO GARRAFA RUN 2025,1967,51,2025,14/12/2025,NITEROI,RJ,1,0,1,0
PROGEN MOVE GUARULHOS,1965,28,2025,06/07/2025,GUARULHOS,SP,0,1,0,0
CIRCUITO S RUN EDICAO VITORIA 2025,1965,45,2025,02/11/2025,VITORIA,ES,1,1,0,0
CORRIDA DA POLICIA MILITAR   HOMENS DO MATO,1961,48,2025,23/11/2025,CUIABA,MT,1,1,0,0
MARATONA INTERNACIONAL DE OLINDA 2025,1949,24,2025,08/06/2025,OLINDA,PE,1,1,1,1
ELEVA NIGHT RUN ANAPOLIS,1949,34,2025,23/08/2025,ANAPOLIS,GO,1,1,0,0
XIV CIA SPORT RUN,1949,7,2026,08/02/2026,MANAUS,AM,1,1,0,0
CORRIDA AMB RUN EXPERIENCE 2025,1944,47,2025,16/11/2025,SALVADOR,BA,1,1,1,0
45 CORRIDA DE SAO PEDRO,1940,24,2025,14/06/2025,CACHOEIRO DE ITAPEMIRIM,ES,1,1,0,0
3 NISSEI RUN CURITIBA,1938,24,2025,08/06/2025,CURITIBA,PR,1,1,0,0
3 CORRIDA AMIGAO,1938,31,2025,27/07/2025,MARINGA,PR,1,1,0,0
ECO RUN BELEM - 2025,1928,44,2025,26/10/2025,BELEM,PA,1,1,0,0
ZAYED CHARITY RUN,1915,41,2025,05/10/2025,RIO DE JANEIRO,RJ,1,1,0,0
12 CORRIDA TRIBUNA RUAS DA CIDADE,1913,46,2025,09/11/2025,VITORIA,ES,1,1,0,0
NIGHT RUN 2025 - ETAPA 1 - JOAO PESSOA,1912,22,2025,31/05/2025,JOAO PESSOA,PB,1,1,0,0
ECO RUN BRASILIA - 2025,1909,28,2025,06/07/2025,BRASILIA,DF,1,1,0,0
CIRCUITO BIOMAS POR TODO BRASIL - MATA ATLANTICA - 2025,1899,25,2025,15/06/2025,RIO DE JANEIRO,RJ,1,1,0,0
VALE VERDE RUN 2025,1899,51,2025,14/12/2025,LONDRINA,PR,1,1,0,0
CIRCUITO CORRENDO PELO RIO 2025 - PRACA MAUA,1894,25,2025,15/06/2025,RIO DE JANEIRO,RJ,1,0,0,0
2 CORRIDA PRF - CURITIBA,1893,6,2026,01/02/2026,CURITIBA,PR,1,1,0,0
XVIII CORRIDA DA POLICIA CIVIL DO PARANA,1891,40,2025,28/09/2025,CURITIBA,PR,0,1,1,0
MARATONA DE CAMPINAS 2025,1890,30,2025,20/07/2025,CAMPINAS,SP,0,1,1,1
XXIV CORRIDA DO FOGO - CBMBA,1890,50,2025,07/12/2025,SALVADOR,BA,1,1,0,0
